t, x, y, z
0.029375,-0.18664,-1.6012,-0.069886
0.029453,-0.64179,-1.606,0.045
0.029531,-0.62224,-1.3627,0.0090749
0.029609,-0.43073,-0.69484,-0.31584
0.029687,-0.27262,-0.12546,-0.16999
0.029766,-0.15137,0.2221,0.14192
0.029844,0.29283,0.44514,-0.14005
0.029922,0.43213,0.47863,-0.49678
0.03,0.453,0.078493,-0.22304
0.030078,0.42643,-0.31201,0.33006
0.030156,0.34082,-0.55946,0.38657
0.030234,0.26411,-0.72365,0.26579
0.030313,0.22547,-0.874,0.18206
0.030391,0.21536,-1.0713,0.31042
0.030469,0.10403,-0.98402,0.52363
0.030547,-0.081955,-0.78259,0.27309
0.030625,-0.27842,-0.67846,0.22846
0.030703,-0.41136,-0.88513,0.704
0.030781,-0.43232,-1.0969,1.1159
0.030859,-0.42222,-1.2161,1.1363
0.030938,-0.084574,-1.5043,1.1721
0.031016,0.55029,-1.5595,0.9958
0.031094,0.89542,-1.6113,0.69371
0.031172,0.98317,-1.8473,0.94369
0.03125,0.9727,-1.9889,1.0836
0.031328,0.85089,-1.8662,1.1021
0.031406,0.76987,-1.4979,1.1153
0.031484,0.65489,-0.94697,0.84555
0.031562,0.363,-0.3252,0.71196
0.031641,0.24081,-0.10104,1.0463
0.031719,-0.11666,0.016092,1.0355
0.031797,-0.27823,-0.075873,0.70195
0.031875,-0.17747,-0.29723,0.50099
0.031953,-0.12387,-0.55151,0.25934
0.032031,-0.58397,-0.68211,0.064834
0.032109,-0.58949,-0.63824,0.67893
0.032187,-0.44972,-0.24446,0.64965
0.032266,-0.54066,0.46862,0.098607
0.032344,-0.29816,0.97457,0.21031
0.032422,0.044065,1.1876,0.7099
0.0325,0.17055,1.1456,0.97045
0.032578,0.48321,1.044,0.89645
0.032656,0.7578,0.80879,0.85023
0.032734,0.59127,0.66041,0.70082
0.032812,0.31715,0.57827,0.52279
0.032891,-0.011133,0.65826,0.23613
0.032969,-0.63412,0.89645,0.30911
0.033047,-1.2792,1.202,0.48565
0.033125,-1.2444,1.5405,0.69708
0.033203,-0.97578,2.0269,0.48714
0.033281,-0.46563,2.3376,0.25166
0.033359,0.13949,2.4041,0.10572
0.033438,0.48892,2.2221,0.065115
0.033516,0.35392,1.9845,0.11685
0.033594,-0.010759,1.7123,-0.1916
0.033672,-0.6083,1.6117,-0.46357
0.03375,-1.4172,1.6252,-0.22294
0.033828,-2.2414,1.6388,0.35663
0.033906,-2.3824,1.6794,0.64956
0.033984,-2.0538,1.6546,0.4501
0.034063,-1.1148,1.4205,0.079241
0.034141,0.023202,1.1312,-0.38676
0.034219,0.58743,0.89308,-0.20367
0.034297,0.89738,0.67004,0.13341
0.034375,0.92844,0.80785,0.017869
0.034453,0.50305,1.1904,-0.53214
0.034531,0.0040229,1.3626,-0.92966
0.034609,-0.3411,1.4071,-0.78689
0.034688,-0.74582,1.4477,-0.74844
0.034766,-0.91909,1.5964,-0.678
0.034844,-0.6866,1.9614,-1.0407
0.034922,-0.16251,2.1354,-0.95099
0.035,0.23978,1.8927,-0.62317
0.035078,0.70784,1.3084,-0.42596
0.035156,0.90702,0.61784,-0.57668
0.035234,1.2178,-0.32875,-0.61344
0.035312,1.4502,-1.0387,-0.74844
0.035391,1.3783,-1.3182,-0.74957
0.035469,1.1577,-1.1217,-0.48649
0.035547,1.036,-0.63655,-0.588
0.035625,0.858,-0.14978,-0.89925
0.035703,0.7433,-0.041632,-0.8855
0.035781,0.61569,-0.33867,-0.63178
0.035859,0.62514,-0.34812,-0.4588
0.035937,1.0049,-0.13575,-0.62532
0.036016,1.3119,0.42811,-0.9698
0.036094,1.3845,0.96531,-1.1029
0.036172,1.2847,1.24,-1.083
0.03625,1.1151,1.2125,-0.93406
0.036328,0.57967,1.0974,-0.96474
0.036406,0.34251,1.0859,-0.80037
0.036484,0.55984,1.0922,-0.17991
0.036562,0.69792,1.3816,-0.078493
0.036641,1.0503,1.6657,-0.31528
0.036719,1.5528,1.9095,-0.43129
0.036797,1.8944,1.9606,-0.26953
0.036875,1.9816,1.9301,-0.4341
0.036953,1.6586,1.7147,-0.63973
0.037031,0.90824,1.25,-0.46142
0.037109,0.19572,0.74844,0.059782
0.037188,-0.19076,0.41829,0.0097298
0.037266,-0.39031,0.47723,-0.26317
0.037344,-0.50501,0.78016,-0.62018
0.037422,-0.61541,1.0503,-0.7767
0.0375,-0.56788,1.1435,-0.1481
0.037578,-0.52662,1.2424,-0.03237
0.037656,-0.24933,1.2713,-0.066518
0.037734,0.20563,1.2655,-0.012443
0.037813,0.75312,1.2268,0.43017
0.037891,1.2361,1.153,0.65115
0.037969,1.8935,1.1862,0.43859
0.038047,2.2969,1.1588,0.038826
0.038125,2.1737,0.91086,-0.1945
0.038203,1.6115,0.55815,-0.17065
0.038281,0.83199,0.29302,-0.49566
0.038359,-0.24839,0.21714,-0.66724
0.038438,-1.1616,0.27683,-0.57518
0.038516,-1.6034,0.61335,-0.2294
0.038594,-1.5792,0.94201,-0.21125
0.038672,-0.94781,1.053,-0.56292
0.03875,-0.001684,0.66724,-0.66116
0.038828,0.54393,-0.43457,-0.17317
0.038906,1.033,-1.6029,0.72234
0.038984,1.7532,-2.4788,0.90805
0.039062,2.2847,-3.0175,0.58622
0.039141,2.3895,-3.332,0.28693
0.039219,1.9215,-3.6212,0.52251
0.039297,1.2735,-3.8769,0.6373
0.039375,0.62383,-3.8027,0.1582
0.039453,-0.012162,-3.4599,-0.43747
0.039531,-0.59211,-2.7619,-0.7273
0.039609,-0.97419,-1.7963,-0.164
0.039687,-0.9915,-0.90468,0.085229
0.039766,-0.63496,-0.54496,-0.079896
0.039844,-0.14211,-0.9364,-0.040884
0.039922,0.36365,-1.8609,0.15989
0.04,0.68062,-2.7338,-0.04472
0.040078,0.96587,-3.2525,-0.31715
0.040156,0.81674,-3.2171,-0.3411
0.040234,0.33137,-2.6394,-0.20189
0.040312,-0.062308,-1.8242,0.63814
0.040391,-0.26336,-0.92311,0.98729
0.040469,-0.18262,-0.28057,0.72571
0.040547,0.050801,-0.050052,0.33137
0.040625,0.27318,-0.23782,0.3484
0.040703,0.17645,-0.59969,0.36721
0.040781,-0.2148,-0.99028,0.29564
0.040859,-0.65414,-1.284,0.45178
0.040937,-1.1775,-1.4381,0.25092
0.041016,-1.6873,-1.6125,0.33586
0.041094,-2.0708,-1.7586,0.61036
0.041172,-1.988,-1.6828,0.82469
0.04125,-1.5696,-1.2735,0.92872
0.041328,-0.89093,-0.66892,1.027
0.041406,-0.33951,-0.10385,1.0792
0.041484,-0.096081,-0.11105,1.3491
0.041563,0.063243,-0.50492,1.6966
0.041641,0.25503,-0.99459,1.7009
0.041719,0.4225,-0.97064,1.4993
0.041797,0.6097,-0.57733,1.2299
0.041875,0.70915,-0.21574,1.2511
0.041953,0.57668,-0.0871,1.1651
0.042031,0.17242,-0.41819,0.83863
0.042109,-0.32548,-0.97419,0.7287
0.042188,-0.80448,-1.3583,0.45412
0.042266,-0.89065,-1.0581,0.38114
0.042344,-0.79298,-0.29376,0.29779
0.042422,-0.73263,0.31818,0.5851
0.0425,-0.38854,0.57789,1.2658
0.042578,0.037516,0.30181,1.1114
0.042656,0.53832,-0.27524,0.53701
0.042734,0.94641,-1.1365,0.074283
0.042813,0.80813,-1.8716,0.22182
0.042891,0.5182,-2.179,0.71813
0.042969,0.2875,-1.9608,0.88457
0.043047,0.14875,-1.5063,0.58117
0.043125,0.28684,-1.1299,0.27814
0.043203,0.40154,-0.83601,0.36561
0.043281,0.212,-0.85903,-0.0019647
0.043359,-0.076341,-0.85135,-0.16569
0.043437,-0.18879,-0.62252,-0.29058
0.043516,-0.57686,-0.19048,-0.44514
0.043594,-0.92133,0.35925,-0.19637
0.043672,-0.96699,0.92321,-0.17252
0.04375,-0.96633,1.3061,-0.070073
0.043828,-0.86165,1.0599,0.15699
0.043906,-0.49734,0.52129,0.46095
0.043984,-0.092059,-0.01815,0.23099
0.044062,0.28123,-0.49631,0.089252
0.044141,0.37581,-0.5938,0.011975
0.044219,0.25999,-0.25185,-0.034148
0.044297,-0.0096362,0.48013,0.22725
0.044375,-0.53523,1.1967,0.27823
0.044453,-0.91731,1.8125,0.3252
0.044531,-1.0987,2.0459,0.40631
0.044609,-1.4264,1.79,0.59913
0.044687,-1.5483,1.2883,0.57424
0.044766,-1.2519,0.66939,0.60764
0.044844,-0.96269,0.34185,0.74863
0.044922,-0.59445,0.44027,0.4181
0.045,-0.66537,0.89018,0.40977
0.045078,-0.73918,1.2631,1.1244
0.045156,-0.69839,1.6744,1.3101
0.045234,-0.7462,2.2404,0.55965
0.045313,-0.79223,2.659,0.29751
0.045391,-0.63468,2.9707,0.90936
0.045469,-0.47536,3.221,1.4231
0.045547,-0.3702,3.4973,1.2503
0.045625,-0.15614,3.1799,1.2047
0.045703,-0.11722,2.079,1.2943
0.045781,-0.39106,0.6184,1.1323
0.045859,-0.74835,-0.62102,0.86969
0.045938,-1.2152,-1.2299,0.68707
0.046016,-1.5632,-1.19,0.60624
0.046094,-1.9135,-0.60175,0.58772
0.046172,-1.9607,0.060905,0.85977
0.04625,-1.5993,0.74442,0.98972
0.046328,-0.93976,1.1563,0.99496
0.046406,-0.22706,1.2821,0.95801
0.046484,0.45169,1.2744,0.84892
0.046563,0.77688,0.9886,0.47732
0.046641,0.73291,0.36627,0.35139
0.046719,0.3774,-0.39312,0.62495
0.046797,-0.27833,-0.78353,0.35972
0.046875,-1.1495,-0.82965,-0.0392
0.046953,-1.596,-0.35729,-0.3847
0.047031,-1.6168,0.48144,-0.5284
0.047109,-1.7291,1.392,-0.67715
0.047187,-1.6248,1.9541,-0.37871
0.047266,-1.0967,2.2071,-0.20816
0.047344,-0.55665,2.2343,-0.63543
0.047422,-0.10993,1.9033,-1.1358
0.0475,0.20058,1.4305,-1.049
0.047578,0.26214,1.0972,-0.35448
0.047656,0.37357,1.1725,-0.18664
0.047734,0.66574,1.6581,-0.87315
0.047812,0.9189,1.9975,-1.1471
0.047891,1.1145,2.0239,-0.57116
0.047969,1.1229,1.8245,-0.254
0.048047,0.95932,1.5484,-0.61971
0.048125,0.90992,1.2722,-1.29
0.048203,0.64329,1.1037,-1.7048
0.048281,0.29358,1.1159,-1.4995
0.048359,-0.052204,1.3954,-1.0547
0.048437,-0.36038,1.8273,-1.1153
0.048516,-0.45767,1.8784,-1.2284
0.048594,-0.080177,1.2892,-0.6257
0.048672,0.41894,0.22865,-0.26167
0.04875,1.0288,-0.66434,-0.53074
0.048828,1.5277,-1.2076,-0.68997
0.048906,1.7368,-1.2962,-0.37871
0.048984,1.6607,-1.0124,0.014595
0.049063,1.4088,-0.61232,0.2163
0.049141,0.92012,-0.23071,0.25176
0.049219,0.31042,0.024418,0.10796
0.049297,0.037703,0.23089,0.30359
0.049375,0.12518,0.46394,0.46731
0.049453,0.39443,0.8652,0.21976
0.049531,0.69362,1.2674,-0.11386
0.049609,1.0153,1.1868,-0.0043036
0.049688,1.0098,0.89776,0.24072
0.049766,0.71635,0.57069,0.18393
0.049844,0.29947,0.45833,0.23623
0.049922,-0.16803,0.4427,0.27197
0.05,-0.75331,0.67472,0.022547
0.050078,-0.97344,0.77314,0.057349
0.050156,-1.1011,0.85014,0.10413
0.050234,-0.83938,1.0239,0.37647
0.050313,-0.37946,1.5446,0.20601
0.050391,0.13042,2.1341,0.17588
0.050469,0.50726,2.4746,0.088036
0.050547,0.74882,2.3039,0.17439
0.050625,0.65732,1.7314,0.23398
0.050703,0.17972,1.1086,-0.10216
